id,resource_state,name,region_name,region_url,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,start_latlng,end_latlng,elevation_profile,start_latitude,start_longitude,end_latitude,end_longitude,climb_category,city,state,country,private,hazardous,starred,created_at,updated_at,total_elevation_gain,effort_count,athlete_count,star_count,local_legend,map.id,map.polyline,map.resource_state,athlete_segment_stats.pr_elapsed_time,athlete_segment_stats.pr_date,athlete_segment_stats.pr_activity_id,athlete_segment_stats.effort_count,xoms.kom,xoms.qom,xoms.destination.href,xoms.destination.type,xoms.destination.name,local_legend.athlete_id,local_legend.title,local_legend.profile,local_legend.effort_description,local_legend.effort_count,local_legend.effort_counts.overall,local_legend.effort_counts.female,local_legend.destination,time_retrieved,active_strava,active_modeling
3808938,3,קפוצינו,מישגב,https://www.trailforks.com/goto/region/4439/,Ride,259.33,-11.8,-0.8,293.8,263.3,"[32.866197, 35.248384]","[32.866262, 35.246058]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/D3KWM6LAKMEAAFANAGJSH3DFQFZEE26CBZUH6NQVOFNCTJWWMBVEGDFMOMSNPKEDA75ZUL6YOKX4R4XBOHS54===,32.866,35.248,32.866,35.246,0,Atzmon,North District,Israel,False,False,False,2013-04-11T16:38:08Z,2020-11-22T09:01:31Z,0,16875,1165,8,,s3808938,udrgEkmcvE[TQBAD?DAEG|AKp@B`@M`ADN?p@Hr@XVNF@X@HBB,3,197.0,2020-10-22,4236600000.0,1,15s,25s,strava://segments/3808938/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
1248017,3,העלייה מרון,יער עופר,https://www.trailforks.com/goto/region/5224/,Ride,798.62,5.8,16,174.8,125.7,"[32.6561428187415, 34.98776008374989]","[32.65989284031093, 34.98284543864429]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/SHWIE7OBCFEAT5PT3L2VLFLC4G2Q3XLTOFD4KK6RBU2JZ7LFOZNQYV435L3OKXCO2LNDW5GJXLLKA6MUNLPQ====,32.656,34.988,32.66,34.983,0,"כרם מהר""ל",Haifa distrik,Israel,False,False,False,2012-04-18T06:49:30Z,2020-11-22T09:01:04Z,49.533,13208,1794,9,,s1248017,{cifEopptE^IPHDTMLa@LQJc@r@OHIP@TJDN@LC@J{@l@YVKd@El@EPBh@Kh@Cj@c@D{@A{AFeAV{@l@i@fA?j@EROJIRYz@KRQPEXSr@W@WFMROLq@`@,3,495.0,2020-05-08,3417000000.0,2,3:05,4:48,strava://segments/1248017/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
4267589,3,מה עכשיו טיפוס,יער עופר,https://www.trailforks.com/goto/region/5224/,Ride,757.8,5.8,21.7,112.3,68,"[32.655592, 34.965745]","[32.652968, 34.97243]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/KQJDAGEZJ5YALSDTOCBSUR4RM5JPLZXNNA2ZEIJIG6WWYVRUZOBATJYWXLNAAB7LDNUQR4D5PKAN4KPFPGXQ====,32.656,34.966,32.653,34.972,0,"Haifa District, Israel",Haifa District,Israel,False,False,False,2013-06-01T05:40:55Z,2020-11-22T09:01:38Z,49.9,18168,2720,16,,s4267589,m`ifE{fltE@G?ULc@HI@UDCJWRs@@[HI?KDGBOFICONUDA?MHa@?MFc@Dm@?WD[D}@CWB}@AwALmAH[b@aAXc@VSl@]FG@EBCFB?DAIF[CQBq@Ri@j@cAL[p@m@h@YVU,3,302.0,2020-05-08,3417000000.0,2,1:55,3:22,strava://segments/4267589/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
2481821,3,מעלה רמי,רמות מנשה,https://www.trailforks.com/region/ramot-menashe/,Ride,1664.4,3.3,34.4,184.9,118.8,"[32.62676368333333, 35.111640433333335]","[32.63764775, 35.1160215]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/EM44OP6DNCX4BDNDA2NKQROJU2PMHWYHXAD6AEMCT3L6SG2M6H7V6BNQ6WJM7B3TJC7IKOT3KJZB5BPU5EHAK===,32.627,35.112,32.638,35.116,0,"Megido, Israel",Noordelike distrik,Israel,False,False,False,2012-09-30T06:57:16Z,2020-11-22T09:01:19Z,146.16,30150,4108,42,,s2481821,glcfEwvhuECWKUYaAQ_@Ig@SYMc@@IIMEUg@gA@KIKCYCc@QKYIe@YaAeAIQYUQWIGeARKFk@PI@SCGFW@w@IoBs@m@c@i@s@QOo@Iu@@Wl@s@bAaA|@a@VaAHUCg@Qg@Ws@q@MAOFMP]ZSb@M\SpAu@|@OHMHc@DOA}@YqFoB_@Kq@MmAe@QKe@e@EQQa@CU?qACe@MeA,3,857.0,2019-10-26,2817200000.0,1,3:51,5:38,strava://segments/2481821/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
7774409,3,fun in the forest,רמות מנשה,https://www.trailforks.com/region/ramot-menashe/,Ride,948,-0.2,16.7,228.9,193.5,"[32.62126, 35.114099]","[32.619106, 35.112043]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/DOUDB3B45NDCGHISWBHCR32WW2P6XOA6WDBCKDHMJNG42RFNV4HCMZNJ3CWNCOSAI7VIPOEUSDBVR37KD4WOE===,32.621,35.114,32.619,35.112,0,"Yizrael, Israel",North District,Israel,False,False,False,2014-07-30T22:56:04Z,2020-11-22T09:02:29Z,42,42487,4314,26,,s7774409,{ibfEafiuEd@DFJRJh@h@Vf@KTYDSPW@eAb@]h@q@n@CDBNDJF?r@UVOD??HEFGZSZCPQ@GEGUm@[g@FMD@HR^`@\n@ZRTADI?KFEV@T`@TZHTTLFdBBj@Od@?l@Of@E^OHQ@ICKSYEG@Gp@Kp@]HAPF,3,362.0,2019-10-26,2817200000.0,2,2:36,3:37,strava://segments/7774409/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
8574425,3,החילזון נהיה עצלן,משמר העמק,https://www.trailforks.com/goto/region/4395/,Ride,950.6,-10.6,3.9,320,219.2,"[32.58031, 35.139275]","[32.586132, 35.143062]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/G5EGMO2JDLJJNXHNBZ3WEXCLY2J7KSL2VIE343LFKTJH7QKBL2EBXFKXDQHK7HDG7HNXRKLVOZV5DOQ6B44Q====,32.58,35.139,32.586,35.143,0,Midrakh Oz,North District,Israel,False,False,False,2014-11-29T13:25:51Z,2020-11-22T09:02:41Z,0,15575,1774,31,,s8574425,{izeEmcnuEKmAEMKEy@XaA@MK[G]EI@e@OWAQMUASYGCUCYDMGK?UIc@IQIk@_Ao@u@q@eA]gAUm@EYIIUII?UXEHOv@Cp@E?YeAa@k@GAEGWy@Su@KUIIKe@Ae@GM]QY?M?GDITG@m@C]ISD,3,,,,0,1:33,1:59,strava://segments/8574425/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
17421855,3,ברמים בירידה,יער קרית אתא,https://www.trailforks.com/goto/region/7518/,Ride,577.8,-7.2,24.2,149.8,105.3,"[32.783733, 35.15431]","[32.782998, 35.152137]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/MNY5CKEX2MLZCCFP67SZI5FQNCXGRJCPAIUHBVZHJQCUFI3JYDAZM6JLC53S6OQQY5EADZY3NIWSXPQ26P3A====,32.784,35.154,32.783,35.152,0,,,Israel,False,False,False,2018-04-18T11:57:46Z,2020-11-22T09:04:43Z,4.5,13779,1979,20,,s17421855,iabgEmaquENAPIPMTYH@BNAd@Kd@KRq@p@s@j@k@TKAa@MIAI@GDEL@D^DBB?BEBU@EB@JB@b@@HH?HEFa@PCDADDDH@d@GFBEJa@JAHBBXBh@?HF?DKHe@PEF@FHJtAt@VB^Ed@A`@D\U,3,177.0,2020-03-10,3171100000.0,2,1:03,2:00,strava://segments/17421855/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
4202076,3,פאמפ טראק ריש לקיש,אלון הגליל,https://www.trailforks.com/region/alon-hagalil/,Ride,1284.9,-5.8,10.4,264.6,189.5,"[32.74298, 35.269376]","[32.743908, 35.259237]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/HT2JE6URX3CXXZWL6D42TMJQZ5R5XZIXSHXMXA3YH5OLGDKLB6YHL3RMFF2M4VGCPVIDGYGRDGCEDXBSUETA====,32.743,35.269,32.744,35.259,0,Tsipori,North District,Israel,False,False,False,2013-05-25T07:58:34Z,2020-11-22T09:01:37Z,13.7,19548,3358,29,,s4202076,sbzfEqpgvEF\DBD?PMb@CVHL@HDFLCh@BZRt@\z@@HEZH|@BH^v@b@|Cb@dAjAdDTtAJX@fACd@BR@v@Jx@A\I^K`AMb@Cl@Sl@g@p@_@V_@`@Qd@WXQh@Ah@Gb@k@b@Wd@OFYIm@Ee@IY[c@WIBMJSx@Kv@[|@[fC,3,,,,0,2:23,3:09,strava://segments/4202076/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
1717839,3,סוללים צפון מערבה,אלון הגליל,https://www.trailforks.com/region/alon-hagalil/,Ride,3103.2,-1.2,9.9,182.9,131.6,"[32.751139076426625, 35.24269541725516]","[32.74535074364394, 35.225703958421946]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/R3BRDIARU6ZPA57CX4WNULSLYGW4Y677S7PBSBKOPTPWAWJM6ICS2YTEQJCJLDWNINRNW6AA7OWTVN533S4TA===,32.751,35.243,32.745,35.226,0,הסוללים,Noordelike distrik,Israel,False,False,False,2012-07-09T18:26:35Z,2020-11-22T09:01:11Z,36.822,12650,2283,12,,s1717839,qu{fEyibvEKe@]Si@@y@LgAZgAv@[\c@t@g@pAm@x@Qb@Kd@@`@Lt@?\Mx@MtAm@lCM~AD\^hAFZ@^M~@Sz@Gx@DbCN`BG~ADz@Kz@@n@Mz@C~AFt@A\HxBJd@PXL`@PpABj@H`@TVNZLb@fBjBn@d@ZHX?XMx@AP_@Dk@XeATWx@s@pA}Ap@m@tAu@TGr@Ff@@`@KVQT{@^k@ROXGVJH\K`@e@`A{A`Es@xAOh@MnA?^B\HZJrCFl@Jl@Lh@t@lBVZR`@P^L`@\jBT|@R~Aj@nAZJlBHjABd@?d@I`@SjAUh@ArAa@,3,,,,0,6:28,9:19,strava://segments/1717839/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
17443790,3,Last Climb Carmel Cup,בית היערן,https://www.trailforks.com/goto/region/7219/,Ride,334.1,6,11.1,533.2,513,"[32.742056, 35.05223]","[32.740697, 35.051827]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/U464WONCHLYL2QGCCHARFO37XWEHRCYYXN3OZGO2MPBJ5TAKQHOAOSLZFQ5QF3TE6F5FATCPC577O6EUQLCQ====,32.742,35.052,32.741,35.052,0,,Haifa District,Israel,False,False,False,2018-04-21T04:40:04Z,2020-11-22T09:04:43Z,20.2,17229,1728,4,,s17443790,y|yfEmc}tEKRSTiAdAKZFVLLNFJ@r@?pBETEl@Yb@a@^WXIJ?,3,107.0,2020-06-05,3566700000.0,29,43s,1:04,strava://segments/17443790/leaderboard,overall,All-Time,,,,,,,,,2020-11-23T09:29:00,True,True
